Shoulder_Pan,Shoulder_Lift,Elbow,Wrist_1,Wrist_2,Wrist_3,TCP_X,TCP_Y,TCP_Z,Orientation_X,Orientation_Y,Orientation_Z
-2.56944,0.30916,2.84238,0.497201,-2.41744,1.23631,0.00983914,-0.12349,0.0464884,0.44867,0.547631,-0.706255
-2.22143,0.310032,2.79577,1.41374,2.16365,-1.10902,0.0228692,-0.150164,-0.036399,-0.209285,-0.885003,0.415897
-2.45895,-0.694014,-1.33287,-1.15312,0.211313,-0.194994,-0.0477571,-0.179503,0.807736,-0.60814,-0.759644,0.23045
-1.72349,0.309711,-1.99301,2.51525,-1.25542,-2.71546,0.0636538,-0.303992,0.285656,0.873136,-0.0176384,-0.487158
-2.80844,-2.07083,2.55461,-0.55797,0.668741,-1.69343,-0.106514,-0.15236,0.185289,-0.184775,0.0163124,-0.982645
-1.12509,-0.646517,2.42119,2.19264,1.4932,0.122931,0.240482,-0.250151,0.0252325,0.876436,0.460811,-0.139692
-0.711425,-1.63558,2.59834,-1.92393,2.08371,2.66012,0.278923,-0.0963288,0.137125,-0.980411,-0.174453,-0.0914325
-0.439128,-0.186099,-2.08517,-2.6638,-2.10851,1.70254,0.112038,0.0679652,0.446783,0.909644,-0.302621,0.28455
-0.802091,-0.532132,1.73279,-2.7827,3.0822,-0.667826,0.497509,-0.357399,-0.0598287,0.457872,-0.406377,0.790703
-1.1646,-0.592866,-1.37781,1.21812,-3.03026,-0.735373,0.204762,-0.199813,0.618839,0.318051,-0.947969,0.0140415
-2.21158,-1.57516,2.03067,2.85155,-1.55804,2.27777,-0.131301,-0.358639,0.434954,0.600393,-0.281337,-0.748584
-1.13928,0.256212,-0.276694,1.28604,-0.877766,-2.13756,0.397365,-0.602006,-0.0389544,0.0817546,0.810011,-0.580688
-0.336137,-0.755188,2.48496,-3.14159,-0.758517,0.192269,0.357748,-0.00937522,-0.021823,-0.5073,-0.537948,-0.673245
-0.86789,-0.696476,2.40528,-3.14162,2.40592,-2.99764,0.319751,-0.208542,-0.039735,-0.480108,-0.460744,-0.746466
0.269268,0.309666,-1.71119,1.92445,-0.977744,-1.00317,0.379293,0.217904,0.264287,-0.538265,-0.611033,-0.58044
0.173665,0.310339,-0.622613,1.29868,-1.31972,3.02382,0.66966,0.228297,0.0276628,0.0643851,0.98792,-0.140956
0.0972137,-0.472501,1.16088,-0.720553,-0.560784,1.73847,0.670579,0.175063,-0.0612091,0.100402,0.09897,0.990012
0.176965,-1.48975,2.24049,-1.11729,1.73667,-3.01333,0.330375,0.169964,0.156818,0.0668378,-0.981739,-0.178102
0.451573,-0.989638,-2.17091,1.4742,0.385181,-0.488737,-0.105971,0.0699144,0.447862,0.359748,0.543174,-0.758646
0.869159,-0.0732454,0.532701,1.3275,-1.51089,1.63383,0.357478,0.592107,-0.0333861,0.580647,0.784499,-0.217741
2.16344,-2.13867,-0.709191,1.31566,3.06439,-2.98225,0.194023,-0.483538,0.55737,-0.00418012,0.142537,-0.989781
0.844253,-0.56961,1.60433,-2.21425,-0.112641,-2.98084,0.347374,0.555184,-0.0549568,0.263838,0.463903,0.845685
2.8368,-0.016551,0.362876,3.14163,-0.687783,2.3409,-0.820717,0.143771,0.0520754,0.582489,-0.646578,-0.492588
2.81876,0.169518,0.02496,1.34702,-3.1416,-0.631084,-0.707148,0.121468,-0.0611188,0.536866,-0.179607,-0.824328
2.87384,-0.393064,1.23324,1.4012,-0.120598,2.86738,-0.5884,0.0482364,0.0186307,0.337478,-0.212673,-0.916995
0.597379,-0.131242,-0.760649,-0.715025,2.74792,-0.967164,0.568838,0.518991,0.453468,0.542129,0.632154,0.553603
-2.62993,-2.14276,-0.926661,-3.04503,2.30769,1.51235,0.60901,0.216805,0.381497,-0.158741,-0.138755,0.977522
-1.97981,-0.594192,1.94028,-3.08481,2.43494,1.38878,-0.111779,-0.532332,-0.0394774,0.502615,0.864035,-0.0286537
-0.632184,-0.608836,2.19513,-3.1417,-3.12601,0.779901,0.417198,-0.170285,-0.061438,-0.564959,0.400076,0.721638
-0.0112122,0.309686,-3.03518,-2.141,-2.90362,-1.13036,-0.0462996,0.109676,0.103653,-0.831323,-0.0911871,-0.548258
-2.38209,-2.21779,2.13955,3.04095,2.33309,-2.66315,-0.0104313,-0.160419,0.552064,-0.820149,0.106623,0.562128
-0.59219,0.310094,-2.97338,1.92917,0.151201,-1.22982,0.160416,0.0236335,0.069744,0.348326,-0.173622,-0.921154
0.188935,-1.82569,2.69624,1.89622,-2.7668,-3.00475,0.0884807,0.128046,0.288559,0.725443,0.507942,0.464464
-0.286084,-0.152077,0.604723,1.12561,1.59901,-0.908091,0.681433,-0.0866713,-0.0173002,-0.58284,0.812506,-0.0114776
-0.0629755,0.309725,-2.62756,-1.59681,0.226211,-2.39611,0.0788862,0.104392,0.315165,-0.994637,-0.102403,-0.0144897
-2.79565,-2.07892,-1.07469,-1.23002,1.17761,0.572238,0.684799,0.1308,0.486311,-0.316676,-0.939583,0.130003
0.14129,0.309637,-2.36481,-2.39868,0.274054,-0.317383,0.113958,0.126458,0.330982,-0.103414,0.244998,0.963992
-0.757478,-0.622298,2.24867,-3.14174,-0.0355378,-0.0880722,0.378735,-0.207929,-0.0599949,-0.00057878,-0.0481644,-0.998839
2.7272,-1.0722,2.57019,0.344164,0.817685,-1.41764,-0.172628,-0.0433098,0.0965762,0.801129,-0.473981,0.365422
2.97666,-2.10092,2.23174,1.95046,-1.92824,-2.49402,-0.108098,-0.0926589,0.450904,0.262038,-0.801037,0.538216
1.46959,0.105036,-0.0791984,0.212557,-2.5711,-0.702927,-0.0285264,0.799399,-0.0575063,0.457541,0.42727,-0.779806
0.450674,-0.586825,-1.66376,0.776612,-0.520551,2.04604,0.133861,0.186031,0.620395,-0.861231,-0.163927,0.481049
-0.486455,0.310407,-0.717358,1.26135,-2.41289,-0.136614,0.664097,-0.22773,0.0524472,0.0298316,-0.762048,-0.646833
-0.649123,-0.725619,1.78618,-0.361901,-1.06646,-0.331674,0.423362,-0.184239,-0.043575,-0.945915,-0.321342,0.0445357
-0.915239,-0.363723,1.18983,1.11145,1.11417,0.448382,0.436853,-0.389021,-0.0141246,0.974709,0.0593228,0.215458
-0.549584,0.309924,-3.07952,-0.654252,-3.07028,2.51822,0.068071,0.0863031,0.193018,0.832136,-0.441867,-0.335118
1.48697,-1.65249,0.498177,1.00382,-0.39754,-2.17514,-0.097196,0.146845,0.777881,-0.165516,0.657526,-0.735027
0.212271,-0.6322,1.94102,1.02316,1.89012,1.50052,0.344486,0.185899,0.0267216,0.677108,0.214125,-0.704042
-2.86186,-0.359456,3.04357,3.00988,-0.759854,-1.73693,-0.0645522,-0.132108,-0.0132832,-0.591077,-0.288314,-0.753328
-2.33542,0.310381,2.83472,0.165131,-2.86779,-1.9687,0.0591544,-0.0960059,0.0540388,-0.286095,-0.449584,0.846182
-2.28951,0.30991,2.8111,-1.19079,1.05735,-1.86062,0.132202,-0.0146527,-0.0152368,0.435788,0.876237,0.205662
2.11162,0.309719,2.7961,-1.3413,-1.26244,2.69859,-0.0523342,-0.124864,-0.0361835,-0.927384,-0.127848,-0.351588
-2.29965,-1.28308,0.110871,-0.469149,0.437989,-0.55438,-0.16318,-0.346646,0.864862,-0.1169,-0.672351,-0.730943
0.623015,-1.78218,-1.62443,-0.796755,1.99777,2.28616,-0.51066,-0.232493,0.448087,0.991157,-0.0230011,-0.130683
2.90978,-0.250689,-1.6084,1.21438,-1.65072,-1.61432,-0.3726,-0.0241935,0.495,-0.5916,0.0950942,-0.800603
3.14105,-0.458484,1.24757,-2.2268,-2.10077,0.262173,-0.751319,-0.108744,-0.0136821,0.192555,0.833235,0.518307
2.29642,-0.636529,2.46529,-3.14179,-0.0152252,-2.54845,-0.302783,0.176851,-0.0616169,-0.508372,0.554073,0.659213
1.40723,-0.641189,2.45399,-3.1415,3.08612,-0.573119,-0.0525764,0.351731,-0.0601392,0.0725156,0.725443,0.684452
1.1878,-0.622205,2.24014,-3.14164,3.07044,0.529277,0.0562402,0.431673,-0.0594091,-0.230249,-0.407281,0.883803
2.33758,0.309741,-2.16439,0.472675,0.804985,-2.52173,-0.347732,0.203607,0.318401,-0.0468474,0.894252,0.445104
-3.11001,-1.35848,0.240435,1.1766,-0.224645,-2.59962,-0.252033,-0.117166,0.762857,-0.797121,-0.216113,-0.56382
1.97597,0.0265391,-0.629747,1.11416,0.361623,-1.82879,-0.376863,0.601763,0.217839,0.187283,-0.207654,-0.960107
-1.34401,-1.43813,-1.02356,-0.466897,-1.41015,0.858874,0.0549097,0.247484,0.849549,-0.641388,-0.0885677,-0.762087
-2.91892,-2.23244,-0.779051,2.92552,0.283124,2.86256,0.650189,0.0353044,0.381067,-0.933177,0.064057,0.353662
-3.03953,-1.27078,-0.705648,3.14159,2.29357,3.13975,0.126664,-0.0967488,0.818246,0.181568,0.772489,0.608517
