Shoulder_Pan,Shoulder_Lift,Elbow,Wrist_1,Wrist_2,Wrist_3,TCP_X,TCP_Y,TCP_Z,Orientation_X,Orientation_Y,Orientation_Z
-2.9282,-2.3105,-0.0209941,0.248708,-1.2175,3.14159,0.486751,-0.00620871,0.73359,0.36436,-0.88106,0.301622
1.04231,-0.568155,1.75973,0.801243,2.85608,-1.34825,0.116052,0.415229,-0.00777039,-0.546066,-0.811942,0.206304
1.91101,-2.743,-1.23274,0.312331,-0.651185,-1.97469,0.131479,-0.698544,0.0456171,0.0188077,-0.767016,0.641353
-1.0076,-1.4229,-2.73981,-2.96897,2.25658,2.12841,0.0542382,0.118542,0.112477,-0.804454,0.506988,0.309544
-0.672791,-2.73874,-1.01221,-3.1416,2.15949,-0.855837,-0.446949,0.495695,-0.0463353,0.911243,-0.0289373,-0.410851
0.264453,-2.64863,-0.924401,2.7053,1.54679,-2.90258,-0.664136,-0.0667634,0.0650573,0.442756,-0.886378,-0.13528
-2.83093,0.309818,-1.7693,2.94944,-2.29852,1.59851,-0.303686,-0.212139,0.341762,-0.940914,-0.323825,0.0990891
-2.82529,0.309672,-1.84874,1.46463,0.861449,-2.34599,-0.36927,-0.235705,0.257307,-0.647692,0.346777,-0.67841
-3.04931,-0.725788,0.770258,0.349064,-0.530889,1.44186,-0.660534,-0.170747,0.266389,-0.282685,0.039215,0.958411
-1.51947,-1.55667,-1.21954,0.225973,-0.440889,-0.775855,0.0932271,0.31278,0.732848,-0.256696,-0.940767,0.221506
-1.75156,-0.613147,1.9642,0.561035,2.19911,-0.210682,0.0455453,-0.357914,-0.0174153,0.848259,0.240869,-0.471634
-2.57801,-0.553497,-1.87249,2.86214,0.263068,2.84079,0.0367284,-0.105908,0.484124,-0.945121,-0.303463,-0.121061
-1.45161,-0.529678,1.72599,-2.76641,-3.13965,-2.1107,0.180302,-0.587624,-0.0612399,0.10294,-0.851193,-0.514659
-0.85548,-2.3787,0.0468092,-0.488555,0.223986,-0.134604,-0.27693,0.485168,0.756671,0.79523,-0.579699,-0.177647
-1.09548,0.30985,-1.03588,-0.639768,1.93425,2.03136,0.458921,-0.653151,0.20072,-0.785445,0.618313,0.0276545
-0.417099,0.305576,-0.38767,1.58724,1.1989,-3.04087,0.685846,-0.184512,-0.0127437,-0.44555,-0.816416,-0.367355
-0.410276,0.309931,-3.06688,-2.84138,0.724298,-0.129828,0.0263788,0.107554,0.0334149,-0.340495,0.864596,0.369509
-0.891267,0.0111447,-0.570136,2.20202,1.79642,0.019778,0.501624,-0.447225,0.299276,0.760256,0.609593,-0.224515
-2.14909,-1.05788,2.70821,-1.12855,2.77381,0.810222,0.0202258,-0.168704,-0.0135967,-0.294625,-0.90481,0.307433
-1.43373,-0.532723,1.73815,0.362512,0.0178136,-0.555858,0.164365,-0.392832,-0.0616203,-0.0574395,0.527192,0.847803
3.08296,-1.26106,0.448458,2.12904,-1.74278,-0.757764,-0.313524,-0.090934,0.754922,0.674754,0.677282,-0.293251
2.03703,0.0791172,-0.0235522,-0.554647,-2.74121,-2.35062,-0.484369,0.719695,-0.0493198,-0.142215,-0.32708,-0.934234
1.55223,-0.372019,0.971427,-1.27987,2.63641,-0.536877,-0.0946645,0.781238,-0.0512141,-0.398986,0.913839,0.0755605
1.01227,-0.280899,0.303571,-1.88656,-0.723993,2.75462,0.379664,0.813534,0.225431,-0.817871,-0.151309,0.555151
1.10229,0.309559,-0.961246,2.21729,2.41645,2.21682,0.183486,0.604274,0.197106,0.715757,0.530042,0.454695
0.972236,-0.0672101,0.474753,3.00143,1.27109,2.66575,0.365756,0.729996,0.0535185,0.490821,-0.787627,-0.372476
1.10425,0.309757,-1.14477,-0.394557,0.829317,-2.8725,0.243123,0.7254,0.21871,0.845643,0.0985671,0.524568
0.0892226,-0.639628,2.47504,-3.142,-3.11229,1.1142,0.318725,0.138099,-0.060474,-0.747188,-0.0798123,0.659803
3.01165,-0.34106,2.90783,-3.14169,-3.10066,-2.74429,-0.135885,-0.0923207,-0.0613787,0.553176,-0.110346,-0.825724
0.609895,-0.754662,1.3237,2.6282,1.22841,-2.83972,0.466453,0.459097,0.263453,0.26634,-0.911066,0.314678
-0.336557,-0.603467,2.07014,0.157099,-0.178343,-1.91031,0.315613,0.00521491,-0.0547669,-0.88564,0.372446,-0.277355
-0.383352,0.310332,-0.642023,1.55847,2.00463,-3.08834,0.677463,-0.155532,0.055185,-0.516673,-0.768612,0.377208
-1.31579,-1.24231,-1.64804,0.862159,2.05363,2.14747,0.0657874,0.180333,0.63075,-0.628818,0.497791,-0.597321
2.22672,0.209355,-0.113755,2.62109,0.171418,0.87696,-0.554387,0.541392,0.0496234,-0.629871,0.639582,-0.440678
2.19372,0.309808,-3.11955,2.86847,1.99581,-0.314725,-0.105196,-0.0406443,-0.00710686,-0.921326,-0.202265,-0.332035
2.17344,-1.8896,-1.15649,0.888121,0.341263,-1.20244,0.162239,-0.428372,0.582587,-0.646067,0.726413,0.234354
-0.0630503,0.309867,-2.77966,-0.560067,0.191469,-3.03225,0.114958,0.10211,0.297756,-0.967628,-0.128452,0.217249
2.6277,-0.474191,-0.12543,-0.533576,-2.04508,-1.59268,-0.739579,0.292137,0.464471,-0.794474,0.426105,-0.432718
-1.48793,-0.968824,2.03735,-0.729608,1.79124,-0.173761,0.141721,-0.387634,0.0063837,0.969863,-0.0655907,-0.234656
-2.56391,-0.620741,0.571039,2.28205,-2.36376,-1.58849,-0.495641,-0.453381,0.41399,0.661194,0.416189,0.624187
-0.0321158,0.309738,2.84302,0.896659,-1.65639,-3.04596,0.0906101,0.106295,0.0222484,0.159415,0.987177,-0.00830506
-0.0315436,0.310226,2.83491,-1.30986,2.09398,3.00285,-0.0754123,0.111584,-0.0144503,0.23566,-0.86577,0.441482
0.114558,0.309788,2.79524,-1.34935,3.10768,1.2457,-0.0922061,0.0992608,-0.037347,0.865829,0.110525,-0.487979
2.49173,-1.68921,-1.91502,2.45085,-2.09499,-0.773667,0.18451,-0.277318,0.297747,-0.249408,0.967397,0.0440274
2.31857,-0.504064,1.59584,-2.87222,-0.149246,1.98433,-0.518982,0.39907,-0.0339733,0.62148,-0.757969,0.198104
-1.74231,-0.391374,-0.774837,0.828522,2.43345,-1.75017,0.00879449,-0.588765,0.522557,-0.148158,-0.175412,-0.973283
-1.63743,0.30989,-1.05701,1.5426,-2.01969,1.08698,0.0672972,-0.630811,0.15985,-0.469654,-0.743898,0.475438
-1.35085,-0.646446,1.66231,-1.79594,-2.99347,1.07807,0.24015,-0.573921,-0.0555108,-0.130764,0.264952,0.955354
-1.78334,-0.655756,2.21074,-3.14162,1.57068,-2.07856,0.0143644,-0.450865,-0.0423955,-0.659595,-0.751493,0.0138967
-2.16203,-1.11714,2.02961,-1.83394,0.436232,2.7197,-0.188975,-0.477313,0.103665,-0.416928,0.0705479,0.906198
-0.390436,-0.812835,-3.06625,0.306564,-2.08351,-0.388415,0.00667874,0.115284,0.220045,-0.834696,-0.528608,0.154454
0.572963,0.309732,-0.684556,2.17209,0.531136,1.39237,0.51018,0.45904,0.124476,0.785979,0.614064,-0.0718485
-0.42917,-0.657655,3.10841,-0.315106,-1.98551,-0.915534,0.00367945,0.118352,0.149675,-0.960574,-0.173761,0.217035
0.782646,-0.606965,2.01783,3.1416,0.569176,-3.12404,0.2811,0.433495,-0.0406018,0.297163,-0.464436,0.834262
1.25729,0.158752,-0.00111646,2.13415,-0.405083,2.16495,0.123129,0.733736,0.022877,-0.122656,0.337037,-0.933467
1.20036,0.309842,-2.8917,2.12548,-2.91147,-0.0161347,-0.0604455,0.14586,0.0828803,0.531537,0.738662,0.414544
-0.433119,-0.554813,2.5971,1.52179,2.77556,-1.22495,0.247214,0.00594182,0.0499174,0.139013,0.0693944,0.987856
-2.9563,-0.913819,-2.98913,2.27848,-2.3349,0.787516,-0.0488129,-0.1202,0.160155,0.627357,0.635916,0.449483
-0.404843,0.31001,-0.413267,3.01067,-1.76033,0.42681,0.753449,-0.204114,0.0920023,-0.417162,-0.793851,-0.442466
-0.434136,0.273153,-0.185758,1.46923,-3.1416,2.77959,0.685834,-0.197667,-0.061071,0.309236,-0.143384,0.940114
-0.691353,-1.76224,1.0452,-2.02729,2.88036,1.74516,0.263277,-0.0762087,0.851443,-0.203045,0.109882,-0.972985
0.569401,-0.732352,2.58737,-3.14165,-0.566141,-2.82056,0.191207,0.251993,-0.0297262,0.169799,0.713016,0.680277
-0.135373,-0.709161,2.47758,-3.14172,1.13631,-1.98657,0.349966,0.0624902,-0.0372688,0.872423,-0.488584,-0.0127854
1.08009,-0.31565,0.799808,-1.45638,-1.64766,3.02451,0.294568,0.782936,-0.0148167,-0.939103,0.343625,0.00282196
1.45486,0.309709,-1.32738,0.0992241,-1.76585,-1.85701,-0.0290558,0.694082,0.23593,-0.190763,0.756261,-0.625842
0.960654,-0.634808,2.0757,0.509057,1.3414,2.75738,0.0853556,0.312582,-0.0127182,0.894722,-0.295859,-0.334575
-2.86586,-2.12941,0.873134,3.09488,1.76361,-0.222182,0.217524,-0.0518881,0.84761,0.51271,-0.849858,-0.121939
-1.94044,-0.612525,2.01106,3.14166,1.82714,0.043295,-0.0818328,-0.513327,-0.0367207,0.932229,-0.268918,0.242143
-0.940361,-0.610428,-1.39056,2.32766,-2.70942,2.648,0.17912,-0.060286,0.599643,-0.0588954,0.706412,0.705347
-0.142351,0.309725,-1.40853,3.14168,-0.297108,-2.12183,0.50926,0.0372779,0.352024,-0.95473,0.291676,-0.0584422
2.4697,-2.03705,-0.964628,-0.508985,2.30818,-2.57205,0.412303,-0.467385,0.61177,0.126976,0.695519,0.707199
2.77061,0.0171397,0.143258,-0.858194,-2.9524,2.33741,-0.853152,0.214751,-0.0532981,0.870569,-0.478625,0.114134
0.40158,-0.213088,0.496206,-0.318105,-1.0741,2.29702,0.689396,0.41134,-0.0251299,0.0388184,0.650748,0.758301
0.722263,0.30974,-1.04432,-0.935013,1.99466,0.0104294,0.520631,0.60419,0.231867,-0.640774,0.650196,0.408232
1.10797,-0.0864517,0.311134,0.0255284,-1.65149,2.16838,0.251642,0.748791,-0.0532395,-0.430044,0.394234,0.812184
1.26034,0.309701,-2.06719,1.85869,1.68898,-0.0789933,-0.0054368,0.340343,0.250898,-0.909312,0.406181,-0.0903825
0.610013,0.309567,-0.540957,1.07884,-1.92453,-1.45123,0.524042,0.499441,-0.0130092,-0.523493,-0.502403,-0.688147
-0.556602,-0.492743,1.50602,3.14161,0.777398,1.55472,0.619987,-0.257218,0.00742737,-0.709296,0.454622,-0.538719
-1.83902,-0.966147,-1.78665,-0.254002,1.27981,-2.21371,0.134043,0.0758431,0.681289,-0.537121,0.21285,0.816208
1.00977,-0.297971,-0.825554,1.50237,1.05131,-2.76416,0.195381,0.516073,0.479657,0.83888,-0.18172,-0.513088
-0.0668175,-0.607194,1.99008,-3.14155,0.980953,2.11159,0.521429,0.0745016,-0.0360186,-0.922265,-0.367066,0.121202
-0.250102,0.204154,-0.0960807,1.46803,-2.41559,-1.57585,0.716365,-0.0703411,-0.038812,-0.968012,0.250739,0.00907845
-1.16262,-0.917026,2.59977,1.40661,-1.52768,2.03767,0.183428,-0.149162,0.131249,0.423555,0.15348,-0.892774
-0.279358,-0.631589,2.06772,0.493009,2.08901,2.2843,0.325234,0.0202559,-0.0154118,0.633115,-0.773104,0.0384285
0.826688,-1.9623,-1.36071,1.99231,-0.106758,-0.386894,-0.38919,-0.261582,0.388724,0.17252,0.0416974,-0.984123
3.06552,-1.25771,1.4808,0.859762,-1.87742,-2.86501,-0.436876,-0.0761661,0.362345,0.306533,-0.943152,0.128459
1.54301,-1.89846,0.548626,1.06507,1.10115,-0.491182,-0.109781,-0.0211779,0.783423,-0.79296,-0.228546,-0.564784
-0.550424,-1.79371,2.66937,-2.22049,1.29117,0.409159,0.269759,-0.0374834,0.181204,0.0824243,0.98405,-0.157646
-1.70195,-0.384255,0.967677,-0.405083,-0.0904289,0.783235,0.016068,-0.712806,-0.0607549,0.0110187,0.572859,0.81958
-2.7109,-0.759512,2.46804,-2.94495,-2.78205,-1.09775,-0.26679,-0.242699,-0.0377974,-0.958192,-0.263839,0.110713
-2.80103,-0.606061,2.13107,-3.08746,-3.12651,2.3972,-0.398922,-0.257166,-0.0613752,0.64808,0.217892,-0.729737
-0.323808,-2.10946,-2.21643,-0.474936,1.60175,-0.421918,-0.401515,0.24989,0.0823038,-0.0942102,0.993474,-0.0642936
-1.85677,0.27761,-0.270696,-1.47072,2.43883,-2.51603,-0.14778,-0.889516,-0.0401354,-0.648258,-0.347388,-0.677557
-1.33399,-0.696189,2.12809,-3.14165,-1.05238,-2.21124,0.217338,-0.435306,-0.0136509,0.681226,-0.610305,0.404302
-0.0162575,-0.0329336,0.398202,3.14169,0.618729,-2.90106,0.826625,0.0957244,0.0514439,-0.662897,-0.552599,0.505175
-1.69997,-1.42744,-3.07093,-0.88915,0.06988,0.738687,0.120668,0.0816141,0.0673422,0.0428675,-0.070752,0.996572
0.0862598,-0.146812,0.696367,1.24445,2.65047,-2.31353,0.650753,0.165831,-0.0325937,-0.556679,-0.368284,0.744631
-0.452025,-1.52334,2.8532,2.563,-1.44805,-3.05223,0.208124,0.0202811,0.201934,0.406393,0.901557,0.14846
-1.3189,-0.398341,1.25633,2.28127,1.52079,0.38282,0.267217,-0.600364,0.0519126,0.908992,0.185162,-0.373429
-1.22753,0.309709,-1.74497,-0.0983124,-1.86173,-2.34475,0.288691,-0.483404,0.344757,0.868548,-0.440576,-0.226973
-1.22722,0.309799,-1.41683,1.7066,-2.17188,-0.953938,0.280232,-0.459262,0.232268,-0.513272,0.0183805,-0.858029
-2.74785,-1.0546,1.18306,-0.908096,-1.30962,2.99115,-0.572542,-0.356052,0.34122,0.296088,-0.911316,0.28607
-0.101056,-2.27199,2.96955,-0.823305,0.215347,-0.501294,0.0491323,0.104728,0.0680265,-0.766739,0.266104,-0.584208
-0.11303,-0.0103386,3.00542,-3.14228,1.68486,-2.83543,0.0627987,0.102722,-0.0573379,-0.169584,-0.934136,-0.314057
